OriginalPersonID,GlobalPersonID,AuthorFullName,Orcid,OpenAlexAuthorIDs
ORCID:0000-0001-5279-8163,ORCID:0000-0001-5279-8163,"WEN‐JUO, LO",https://orcid.org/0000-0001-5279-8163,https://openalex.org/A5051162040
ORCID:0000-0001-5283-3627,ORCID:0000-0001-5283-3627,MALTE L. PETERS,https://orcid.org/0000-0001-5283-3627,
ORCID:0000-0001-5285-3927,ORCID:0000-0001-5285-3927,"MIRIAM, MOELLER",https://orcid.org/0000-0001-5285-3927,https://openalex.org/A5029503102
ORCID:0000-0001-5288-8257,ORCID:0000-0001-5288-8257,"RODERICK, E. WHITE",https://orcid.org/0000-0001-5288-8257,https://openalex.org/A5014356752
ORCID:0000-0001-5289-4104,ORCID:0000-0001-5289-4104,"FRANCESCA, CROCE",https://orcid.org/0000-0001-5289-4104,https://openalex.org/A5037790247
ORCID:0000-0001-5291-6115,ORCID:0000-0001-5291-6115,"VENKATESH, MANI",https://orcid.org/0000-0001-5291-6115,https://openalex.org/A5065512323
ORCID:0000-0001-5292-3833,ORCID:0000-0001-5292-3833,"PAIVI, JOKELA",https://orcid.org/0000-0001-5292-3833,https://openalex.org/A5084519427
ORCID:0000-0001-5293-4241,ORCID:0000-0001-5293-4241,"MANOJ, K. AGARWAL",https://orcid.org/0000-0001-5293-4241,https://openalex.org/A5059721150
ORCID:0000-0001-5293-919X,ORCID:0000-0001-5293-919X,"SUSAN, L. MORROW",https://orcid.org/0000-0001-5293-919X,https://openalex.org/A5103332136
ORCID:0000-0001-5297-4892,ORCID:0000-0001-5297-4892,YI WANG,https://orcid.org/0000-0001-5297-4892,
ORCID:0000-0001-5297-6257,ORCID:0000-0001-5297-6257,"PAUL, WRIGHT",https://orcid.org/0000-0001-5297-6257,https://openalex.org/A5102817905
ORCID:0000-0001-5298-5348,ORCID:0000-0001-5298-5348,PATRICIA GUARNIERI,https://orcid.org/0000-0001-5298-5348,
ORCID:0000-0001-5300-5217,ORCID:0000-0001-5300-5217,"MATS, SUNDGREN",https://orcid.org/0000-0001-5300-5217,https://openalex.org/A5021623599
ORCID:0000-0001-5308-6619,ORCID:0000-0001-5308-6619,SARAH LEWIS,https://orcid.org/0000-0001-5308-6619,
ORCID:0000-0001-5311-1757,ORCID:0000-0001-5311-1757,"RITU, MEHTA",https://orcid.org/0000-0001-5311-1757,https://openalex.org/A5026897994
ORCID:0000-0001-5311-4050,ORCID:0000-0001-5311-4050,"MATEVZ, RASKOVIC",https://orcid.org/0000-0001-5311-4050,https://openalex.org/A5008901710
ORCID:0000-0001-5317-9671,ORCID:0000-0001-5317-9671,"JAVIER, GONZALEZ BENITO",https://orcid.org/0000-0001-5317-9671,https://openalex.org/A5058970023
ORCID:0000-0001-5323-2313,ORCID:0000-0001-5323-2313,FOO WENG KAR,https://orcid.org/0000-0001-5323-2313,
ORCID:0000-0001-5330-2529,ORCID:0000-0001-5330-2529,"PAUL, DIMAGGIO",https://orcid.org/0000-0001-5330-2529,https://openalex.org/A5016858660
ORCID:0000-0001-5334-1739,ORCID:0000-0001-5334-1739,DORRA YAHIAOUI,https://orcid.org/0000-0001-5334-1739,
ORCID:0000-0001-5338-5088,ORCID:0000-0001-5338-5088,YUE ZHAO,https://orcid.org/0000-0001-5338-5088,
ORCID:0000-0001-5340-9107,ORCID:0000-0001-5340-9107,"CLEO, SCHMITT SILVEIRA",https://orcid.org/0000-0001-5340-9107,https://openalex.org/A5043941675
ORCID:0000-0001-5351-5751,ORCID:0000-0001-5351-5751,"SARAH, PREEDY",https://orcid.org/0000-0001-5351-5751,https://openalex.org/A5009522108
ORCID:0000-0001-5358-9320,ORCID:0000-0001-5358-9320,"YIWEI, LI",https://orcid.org/0000-0001-5358-9320,https://openalex.org/A5100633404
ORCID:0000-0001-5365-0582,ORCID:0000-0001-5365-0582,"BRANDI, WATKINS",https://orcid.org/0000-0001-5365-0582,https://openalex.org/A5049507771
ORCID:0000-0001-5371-1445,ORCID:0000-0001-5371-1445,"KENT, ERIKSSON",https://orcid.org/0000-0001-5371-1445,https://openalex.org/A5010492806
ORCID:0000-0001-5375-3557,ORCID:0000-0001-5375-3557,"HORMOZ, AHMADI",https://orcid.org/0000-0001-5375-3557,https://openalex.org/A5035670303
ORCID:0000-0001-5375-5747,ORCID:0000-0001-5375-5747,"MINGMING, HE",https://orcid.org/0000-0001-5375-5747,https://openalex.org/A5024859348
ORCID:0000-0001-5377-3427,ORCID:0000-0001-5377-3427,"SHARON, DANE",https://orcid.org/0000-0001-5377-3427,https://openalex.org/A5063595034
ORCID:0000-0001-5378-2489,ORCID:0000-0001-5378-2489,"SIWARIT, PONGSAKORNRUNGSILP",https://orcid.org/0000-0001-5378-2489,https://openalex.org/A5017604074
ORCID:0000-0001-5379-0761,ORCID:0000-0001-5379-0761,"GAGAN, DEEP SHARMA",https://orcid.org/0000-0001-5379-0761,https://openalex.org/A5082585785
ORCID:0000-0001-5381-4399,ORCID:0000-0001-5381-4399,"GARY, BOSWORTH",https://orcid.org/0000-0001-5381-4399,https://openalex.org/A5045989223
ORCID:0000-0001-5383-922X,ORCID:0000-0001-5383-922X,"YUVAL, ENGEL",https://orcid.org/0000-0001-5383-922X,https://openalex.org/A5069769106
ORCID:0000-0001-5386-0491,ORCID:0000-0001-5386-0491,"THOMAS, E. NELSON",https://orcid.org/0000-0001-5386-0491,https://openalex.org/A5089886190
ORCID:0000-0001-5389-0156,ORCID:0000-0001-5389-0156,SANAWI SHARAHILEY,https://orcid.org/0000-0001-5389-0156,
ORCID:0000-0001-5389-3189,ORCID:0000-0001-5389-3189,"JUNG‐WON, AHN",https://orcid.org/0000-0001-5389-3189,https://openalex.org/A5080274876
ORCID:0000-0001-5392-2656,ORCID:0000-0001-5392-2656,"LAN, SNELL",https://orcid.org/0000-0001-5392-2656,https://openalex.org/A5055643410
ORCID:0000-0001-5396-395X,ORCID:0000-0001-5396-395X,"GRACA, MIRANDA SILVA",https://orcid.org/0000-0001-5396-395X,https://openalex.org/A5088018324
ORCID:0000-0001-5399-4799,ORCID:0000-0001-5399-4799,"HESAMEDIN, GHOLAMI",https://orcid.org/0000-0001-5399-4799,https://openalex.org/A5076998752
ORCID:0000-0001-5408-413X,ORCID:0000-0001-5408-413X,"JIM, ANDERSEN",https://orcid.org/0000-0001-5408-413X,https://openalex.org/A5090356479
ORCID:0000-0001-5408-4842,ORCID:0000-0001-5408-4842,"PANOS, PANAGIOTOPOULOS",https://orcid.org/0000-0001-5408-4842,https://openalex.org/A5047187535
ORCID:0000-0001-5413-773X,ORCID:0000-0001-5413-773X,"MARIETTE, KAANDORP",https://orcid.org/0000-0001-5413-773X,https://openalex.org/A5090190513
ORCID:0000-0001-5416-8552,ORCID:0000-0001-5416-8552,"JENRI, M.P. PANJAITAN",https://orcid.org/0000-0001-5416-8552,https://openalex.org/A5063833433
