SR,SR_ref
"JONES R, 2013, SERV IND J","BLANKSON C, 2006, MARK INTELL PLAN"
"JONES R, 2013, SERV IND J","BRESNAHAN TIMOTHYF, 2004, BUILDING HIGH TECH C"
"JONES R, 2013, SERV IND J","BUSENITZ LW, 2000, ACAD MANAGE J"
"JONES R, 2013, SERV IND J","CANINA L, 2012, INT ENTREP MANAG J"
"JONES R, 2013, SERV IND J","CARSON D, 1995, MARKETING AND ENTREPRENEURSHIP IN SMES: AN INNOVATIVE APPROACH"
"JONES R, 2013, SERV IND J","COLLINSON E, 2001, MANAGEMENT DECISION"
"JONES R, 2013, SERV IND J","EASTERBY-SMITH M, 2002, MANAGEMENT RES INTRO"
"JONES R, 2013, SERV IND J","EGGERS F, 2012, INT ENTREP MANAG J"
"JONES R, 2013, SERV IND J","AMORÓS JE, 2012, INT ENTREP MANAG J"
"JONES R, 2013, SERV IND J","GILMORE A, 2001, MARKETING INTELLIGEN"
"JONES R, 2013, SERV IND J","GRINSTEIN A, 2008, EUR J MARKETING"
"JONES R, 2013, SERV IND J","HAUSMAN A, 2005, IND MARKET MANAG"
"JONES R, 2013, SERV IND J","HENDRY C, 2000, REG STUD"
"JONES R, 2013, SERV IND J","HILL J, 2001, INT J ENTREPRENEURIA"
"JONES R, 2013, SERV IND J","HILLS G E, 2006, MARKETING-BROADENING THE HORIZON"
"JONES R, 2013, SERV IND J","HILLS GE, 2008, J SMALL BUS MANAGE"
"JONES R, 2013, SERV IND J","JARRATT D, 2001, J BUS RES"
"JONES R, 2013, SERV IND J","JONES R, 2011, INT SMALL BUS J"
"JONES R, 2013, SERV IND J","JONES R, 2009, J RES MARK ENTREP"
"JONES R, 2013, SERV IND J","KOHLI AK, 1993, J MARKETING RES"
"JONES R, 2013, SERV IND J","KRAUS S, 2012, J RES MARK ENTREP"
"JONES R, 2013, SERV IND J","LAFORET S, 2006, J SMALL BUS ENTERP D"
"JONES R, 2013, SERV IND J","LEE SM, 2012, MANAGE DECIS"
"JONES R, 2013, SERV IND J","MILES M B, 2014, QUALITATIVE DATA ANALYSIS: A METHODS SOURCEBOOK"
"JONES R, 2013, SERV IND J","MISHRA S, 1996, J PROD INNOVAT MANAG"
"JONES R, 2013, SERV IND J","MOHR J, 2001, MARKETING OF HIGH-TECHNOLOGY PRODUCTS AND INNOVATIONS"
"JONES R, 2013, SERV IND J","MORRIS MH, 2002, J MARKET THEORY PRAC"
"JONES R, 2013, SERV IND J","MORRISH SC, 2010, J STRATEG MARK"
"JONES R, 2013, SERV IND J","MUTHEL M, 2007, OPEN INNOVATION ORG"
"JONES R, 2013, SERV IND J","NARVER JC, 1990, J MARKETING"
"JONES R, 2013, SERV IND J","O'DONNELL A, 2002, J STRATEG MARK"
"JONES R, 2013, SERV IND J","PELHAM AM, 1999, J BUS RES"
